order_id,customer_id,archetype,previous_orders,previous_delivered_orders,previous_rto_orders,previous_cancelled_orders,customer_rto_rate,customer_success_rate,days_since_first_order,order_value,number_of_items,product_category,discount_percentage,payment_method,cod_selected,pincode,pincode_rto_rate,address_completeness,address_changes,city_state_match,checkout_attempts,checkout_duration,cart_revisions,quantity_changes,payment_attempts,session_duration,intent_score,device_linked_accounts,true_rto_probability,is_rto
ORD_000021,CUS_15403,LEGITIMATE,17,16,0,1,0.0,0.9412,575,1968,2,HOME,5,UPI,0,700001,0.12,0.83,0,1,1,133,0,1,1,292,80.0,1,0.0019,0
ORD_000022,CUS_10297,SERIAL_RETURNER,6,0,4,3,0.6667,0.0,46,400,1,BEAUTY,15,CARD,0,800001,0.34,0.46,1,1,2,61,3,3,1,403,14.0,2,0.462,0
ORD_000023,CUS_03375,LEGITIMATE,5,5,0,0,0.0,1.0,35,762,1,FASHION,5,UPI,0,110016,0.07,0.91,1,1,1,79,1,0,1,184,93.0,1,0.0054,0
ORD_000024,CUS_07657,OCCASIONAL_RTO,18,15,2,1,0.1111,0.8333,579,3865,1,ELECTRONICS,0,UPI,0,282001,0.32,0.85,0,1,1,105,1,0,1,634,70.0,2,0.0186,0
ORD_000025,CUS_15283,LEGITIMATE,24,23,0,1,0.0,0.9583,483,1609,3,ACCESSORIES,20,UPI,0,500001,0.11,0.99,0,1,1,183,0,0,1,337,93.0,1,0.0035,0
ORD_000028,CUS_06411,LEGITIMATE,2,1,1,0,0.5,0.5,259,2994,3,HOME,5,UPI,0,560001,0.08,0.89,0,1,1,57,0,0,1,389,51.0,1,0.0379,0
ORD_000029,CUS_00934,OCCASIONAL_RTO,18,15,3,0,0.1667,0.8333,415,1245,1,HOME,20,COD,1,834001,0.33,0.7,0,0,3,95,0,0,1,686,48.0,1,0.5012,1
ORD_000031,CUS_00377,LEGITIMATE,22,22,0,0,0.0,1.0,500,5459,1,ELECTRONICS,10,UPI,0,600001,0.1,0.96,0,1,1,189,2,0,1,260,93.0,1,0.0021,0
ORD_000032,CUS_05594,LEGITIMATE,10,9,0,1,0.0,0.9,67,2382,4,ACCESSORIES,0,CARD,0,400050,0.08,0.78,0,1,1,141,0,1,1,221,85.0,1,0.0036,0
ORD_000033,CUS_09837,ABUSE_RING,1,0,1,1,1.0,0.0,304,2112,2,HOME,20,COD,1,834001,0.33,0.41,0,1,2,31,0,2,3,230,8.0,7,0.996,1
ORD_000036,CUS_03763,ABUSE_RING,12,4,7,1,0.5833,0.3333,439,882,3,BEAUTY,0,UPI,0,452001,0.21,0.45,2,1,5,78,5,2,3,228,12.0,6,0.5718,1
ORD_000037,CUS_01182,OCCASIONAL_RTO,8,7,1,0,0.125,0.875,583,3426,2,HOME,20,COD,1,452001,0.21,0.72,2,1,1,181,1,1,1,299,70.0,2,0.3937,0
ORD_000040,CUS_17502,LEGITIMATE,15,14,0,1,0.0,0.9333,305,3321,4,HOME,10,CARD,0,400001,0.09,0.89,0,1,1,119,0,0,1,207,93.0,1,0.0031,0
ORD_000041,CUS_14055,OCCASIONAL_RTO,15,11,3,1,0.2,0.7333,63,544,1,BEAUTY,20,UPI,0,110001,0.09,0.79,1,1,1,118,1,0,1,631,65.0,1,0.0076,0
ORD_000043,CUS_13164,SERIAL_RETURNER,6,2,3,1,0.5,0.3333,253,494,1,BEAUTY,40,COD,1,160017,0.12,0.46,0,1,2,86,3,3,1,119,22.0,3,0.693,1
ORD_000044,CUS_15290,OCCASIONAL_RTO,20,15,3,2,0.15,0.75,433,1645,4,BEAUTY,30,CARD,0,400001,0.09,0.79,0,1,1,104,1,0,1,226,75.0,1,0.0032,0
ORD_000045,CUS_10394,LEGITIMATE,24,22,1,1,0.0417,0.9167,625,3143,1,ACCESSORIES,10,COD,1,560038,0.09,0.88,0,1,1,98,0,0,1,416,93.0,1,0.1321,0
ORD_000046,CUS_08878,LEGITIMATE,16,16,0,0,0.0,1.0,324,1776,1,BEAUTY,5,COD,1,400001,0.09,0.84,1,1,1,102,0,0,1,334,85.0,1,0.0437,0
ORD_000047,CUS_10711,LEGITIMATE,29,28,0,1,0.0,0.9655,113,2967,1,HOME,20,UPI,0,560001,0.08,0.95,0,1,1,70,0,1,1,257,93.0,1,0.0029,0
ORD_000048,CUS_17846,SERIAL_RETURNER,10,0,7,3,0.7,0.0,478,1540,1,ACCESSORIES,5,COD,1,302001,0.18,0.44,0,1,3,163,4,1,1,506,12.0,3,0.9451,1
ORD_000049,CUS_02322,SERIAL_RETURNER,16,6,8,2,0.5,0.375,370,1793,4,BEAUTY,5,COD,1,380001,0.14,0.59,0,1,1,66,0,3,2,236,38.0,1,0.4694,0
ORD_000050,CUS_08973,ABUSE_RING,14,2,11,1,0.7857,0.1429,717,1145,2,BEAUTY,40,COD,1,141001,0.26,0.34,2,1,4,60,1,1,1,223,12.0,9,0.9937,1
ORD_000051,CUS_01265,OCCASIONAL_RTO,10,9,1,0,0.1,0.9,150,3250,1,ACCESSORIES,5,COD,1,201017,0.28,0.57,0,1,2,85,1,1,1,321,66.0,1,0.4227,0
ORD_000053,CUS_09923,LEGITIMATE,21,21,0,0,0.0,1.0,645,3854,4,FASHION,0,COD,1,560001,0.08,0.91,0,1,1,116,0,0,1,413,93.0,1,0.0865,0
ORD_000055,CUS_10146,OCCASIONAL_RTO,12,11,1,0,0.0833,0.9167,525,1329,1,BEAUTY,30,COD,1,834001,0.33,0.55,0,1,1,196,0,0,1,504,72.0,1,0.2118,0
ORD_000058,CUS_00538,OCCASIONAL_RTO,16,12,3,1,0.1875,0.75,567,2761,2,HOME,15,COD,1,842001,0.38,0.58,0,1,1,301,1,0,1,461,56.0,1,0.3291,0
ORD_000061,CUS_03460,OCCASIONAL_RTO,7,4,1,2,0.1429,0.5714,684,3453,1,HOME,20,COD,1,452001,0.21,0.88,0,1,1,298,2,0,1,801,72.0,2,0.3395,0
ORD_000062,CUS_03680,OCCASIONAL_RTO,12,9,2,1,0.1667,0.75,659,4121,1,FASHION,40,COD,1,226010,0.24,0.68,0,0,2,220,0,1,1,689,66.0,1,0.4925,0
ORD_000063,CUS_02200,OCCASIONAL_RTO,5,4,1,0,0.2,0.8,217,1385,2,ELECTRONICS,0,CARD,0,226010,0.24,0.71,0,1,1,297,0,1,1,590,54.0,1,0.0308,0
ORD_000064,CUS_16698,ABUSE_RING,11,2,9,0,0.8182,0.1818,649,1358,1,BEAUTY,10,COD,1,160017,0.12,0.52,0,1,1,110,0,2,1,221,38.0,3,0.8645,1
ORD_000065,CUS_03583,LEGITIMATE,21,20,1,0,0.0476,0.9524,4,7848,1,ELECTRONICS,10,CARD,0,110016,0.07,0.94,0,1,1,133,0,0,1,492,93.0,1,0.0021,0
ORD_000066,CUS_11620,LEGITIMATE,19,19,0,0,0.0,1.0,360,4423,5,FASHION,20,UPI,0,400001,0.09,0.81,0,1,1,193,0,1,1,480,85.0,1,0.0055,0
ORD_000067,CUS_01674,OCCASIONAL_RTO,15,12,3,0,0.2,0.8,672,578,1,ACCESSORIES,10,UPI,0,400001,0.09,0.69,0,1,1,297,2,0,1,605,59.0,2,0.0162,0
ORD_000068,CUS_14323,LEGITIMATE,32,32,0,0,0.0,1.0,462,1948,1,FASHION,40,UPI,0,400001,0.09,0.87,0,1,1,102,1,0,1,283,93.0,1,0.0023,0
ORD_000069,CUS_11360,LEGITIMATE,18,18,0,0,0.0,1.0,546,2942,1,ACCESSORIES,30,UPI,0,700001,0.12,0.82,0,1,1,138,0,0,1,276,80.0,1,0.0023,0
ORD_000071,CUS_04298,SERIAL_RETURNER,13,2,8,3,0.6154,0.1538,541,787,2,HOME,40,COD,1,452001,0.21,0.55,0,0,1,69,4,1,1,399,38.0,3,0.9123,1
ORD_000074,CUS_01676,LEGITIMATE,9,8,0,1,0.0,0.8889,265,643,2,ACCESSORIES,10,UPI,0,700001,0.12,0.97,0,1,1,52,1,0,1,183,88.0,1,0.0017,0
ORD_000076,CUS_05677,LEGITIMATE,17,16,0,1,0.0,0.9412,607,2163,4,HOME,30,CARD,0,600001,0.1,0.8,0,1,1,157,0,0,1,346,85.0,1,0.0034,0
ORD_000077,CUS_14603,SERIAL_RETURNER,19,6,10,3,0.5263,0.3158,202,5369,1,ELECTRONICS,30,COD,1,141001,0.26,0.71,0,1,2,116,3,3,1,291,34.0,2,0.9163,1
ORD_000078,CUS_14737,SERIAL_RETURNER,9,5,3,1,0.3333,0.5556,413,1063,1,BEAUTY,40,COD,1,452001,0.21,0.6,2,1,2,97,1,3,1,336,42.0,3,0.7469,1
ORD_000079,CUS_10454,SERIAL_RETURNER,21,6,15,0,0.7143,0.2857,469,2801,3,ACCESSORIES,40,COD,1,282001,0.32,0.4,0,1,1,41,0,3,1,140,12.0,3,0.9521,1
ORD_000080,CUS_05910,LEGITIMATE,17,17,0,0,0.0,1.0,700,1649,4,FASHION,30,COD,1,560038,0.09,0.81,1,1,1,160,1,1,1,429,85.0,1,0.0765,0
ORD_000081,CUS_11267,ABUSE_RING,2,0,1,2,0.5,0.0,528,6710,3,ELECTRONICS,30,COD,1,380001,0.14,0.52,2,1,1,97,1,4,3,238,38.0,8,0.9645,1
ORD_000082,CUS_10166,LEGITIMATE,16,16,0,0,0.0,1.0,309,1387,1,HOME,10,CARD,0,110001,0.09,1.0,0,1,1,127,0,0,1,302,93.0,1,0.0019,0
ORD_000083,CUS_01691,LEGITIMATE,10,9,0,1,0.0,0.9,425,2305,4,HOME,30,COD,1,500001,0.11,0.79,1,1,1,118,0,0,1,361,85.0,1,0.0539,0
ORD_000084,CUS_11253,SERIAL_RETURNER,8,3,4,1,0.5,0.375,393,2179,2,FASHION,10,CARD,0,800001,0.34,0.44,0,1,3,106,1,1,3,308,5.0,3,0.6096,1
ORD_000085,CUS_11163,SERIAL_RETURNER,18,9,7,2,0.3889,0.5,92,1816,2,HOME,20,UPI,0,302001,0.18,0.51,2,0,3,96,1,0,1,243,32.0,2,0.271,0
ORD_000089,CUS_15655,OCCASIONAL_RTO,11,8,1,2,0.0909,0.7273,136,1247,2,ACCESSORIES,5,CARD,0,400050,0.08,0.68,0,1,1,35,0,0,1,304,79.0,1,0.0047,0
ORD_000090,CUS_16630,LEGITIMATE,15,15,0,0,0.0,1.0,583,742,2,HOME,40,UPI,0,700001,0.12,0.87,0,1,1,201,0,0,1,314,88.0,1,0.0047,0
ORD_000091,CUS_13903,LEGITIMATE,25,24,0,1,0.0,0.96,205,704,1,BEAUTY,0,UPI,0,110001,0.09,0.88,0,1,1,63,0,0,1,286,93.0,1,0.002,0
ORD_000092,CUS_13043,ABUSE_RING,5,2,3,0,0.6,0.4,336,899,1,FASHION,10,COD,1,800001,0.34,0.39,1,1,1,42,2,3,1,165,12.0,5,0.9735,1
ORD_000093,CUS_06039,LEGITIMATE,29,29,0,0,0.0,1.0,545,1707,1,ACCESSORIES,20,UPI,0,600001,0.1,0.9,0,1,1,103,0,0,1,297,93.0,1,0.0039,0
ORD_000094,CUS_16183,LEGITIMATE,10,9,0,1,0.0,0.9,392,557,2,BEAUTY,10,CARD,0,110070,0.08,0.86,0,1,1,170,0,0,1,259,93.0,1,0.0018,0
ORD_000095,CUS_17438,LEGITIMATE,6,5,0,1,0.0,0.8333,89,1171,2,BEAUTY,40,CARD,0,500001,0.11,0.83,0,1,1,187,0,0,1,394,85.0,1,0.0056,0
ORD_000097,CUS_17844,LEGITIMATE,17,17,0,0,0.0,1.0,27,423,2,BEAUTY,30,UPI,0,400001,0.09,0.81,0,1,1,52,0,0,1,372,85.0,1,0.0049,0
ORD_000098,CUS_07978,LEGITIMATE,24,24,0,0,0.0,1.0,123,3437,2,FASHION,40,COD,1,400001,0.09,0.99,0,1,1,90,0,0,1,418,93.0,1,0.104,0
ORD_000105,CUS_11792,LEGITIMATE,13,13,0,0,0.0,1.0,106,8074,1,ELECTRONICS,40,UPI,0,400050,0.08,0.95,0,1,1,56,0,0,1,275,93.0,1,0.0034,0
ORD_000106,CUS_09456,LEGITIMATE,6,5,0,1,0.0,0.8333,243,500,2,BEAUTY,40,CARD,0,500001,0.11,0.83,0,1,1,195,0,0,1,365,85.0,1,0.0059,0
ORD_000107,CUS_03066,LEGITIMATE,22,22,0,0,0.0,1.0,261,4196,1,FASHION,0,COD,1,500001,0.11,0.89,0,1,1,115,1,0,1,405,93.0,1,0.1472,0
ORD_000109,CUS_14475,SERIAL_RETURNER,17,5,11,1,0.6471,0.2941,151,1067,1,HOME,30,UPI,0,160017,0.12,0.53,1,1,1,80,1,1,1,120,38.0,2,0.1779,0
ORD_000110,CUS_02425,ABUSE_RING,8,2,6,0,0.75,0.25,497,895,3,HOME,5,COD,1,282001,0.32,0.38,0,1,4,81,1,3,2,142,5.0,5,0.993,1
ORD_000111,CUS_05615,LEGITIMATE,35,35,0,0,0.0,1.0,40,1916,1,ACCESSORIES,10,UPI,0,400001,0.09,0.92,0,1,1,45,1,0,1,409,93.0,1,0.0027,0
ORD_000112,CUS_11372,ABUSE_RING,10,4,6,0,0.6,0.4,43,2114,2,BEAUTY,0,COD,1,800001,0.34,0.41,1,1,2,79,0,2,1,209,14.0,9,0.9691,1
ORD_000114,CUS_15762,LEGITIMATE,17,17,0,0,0.0,1.0,559,2356,1,FASHION,5,UPI,0,110016,0.07,0.94,0,1,1,113,0,0,1,347,93.0,1,0.0031,0
ORD_000116,CUS_00110,OCCASIONAL_RTO,19,14,4,1,0.2105,0.7368,482,543,1,BEAUTY,0,COD,1,400001,0.09,0.82,0,1,2,48,3,0,1,566,61.0,2,0.2917,0
ORD_000117,CUS_05065,LEGITIMATE,19,19,0,0,0.0,1.0,47,450,4,BEAUTY,20,UPI,0,400050,0.08,0.93,0,1,1,110,1,0,1,415,93.0,1,0.0016,0
ORD_000118,CUS_09802,LEGITIMATE,7,7,0,0,0.0,1.0,629,1857,2,ACCESSORIES,0,CARD,0,700001,0.12,0.9,0,1,2,168,0,0,1,247,84.0,1,0.006,0
ORD_000119,CUS_05171,LEGITIMATE,6,5,0,1,0.0,0.8333,434,1597,1,ACCESSORIES,0,COD,1,500001,0.11,0.87,1,1,1,195,1,0,1,400,93.0,1,0.1306,0
ORD_000120,CUS_08027,OCCASIONAL_RTO,12,9,1,2,0.0833,0.75,365,1097,1,HOME,10,COD,1,141001,0.26,0.72,0,1,1,87,2,0,1,595,80.0,1,0.2586,0
ORD_000121,CUS_16064,LEGITIMATE,18,18,0,0,0.0,1.0,433,1320,2,ACCESSORIES,20,COD,1,110001,0.09,0.81,0,1,2,184,0,0,1,297,81.0,1,0.0819,0
ORD_000122,CUS_15501,ABUSE_RING,2,0,1,2,0.5,0.0,98,982,1,BEAUTY,20,COD,1,834001,0.33,0.38,0,1,2,89,5,1,1,188,14.0,9,0.9758,1
ORD_000125,CUS_13129,SERIAL_RETURNER,21,12,8,1,0.381,0.5714,35,1287,3,BEAUTY,0,COD,1,141001,0.26,0.73,1,1,2,79,2,1,1,158,42.0,1,0.5421,1
ORD_000126,CUS_13056,LEGITIMATE,11,11,0,0,0.0,1.0,105,546,1,BEAUTY,20,UPI,0,110016,0.07,0.94,0,1,1,54,0,0,1,221,93.0,1,0.0025,0
ORD_000127,CUS_01140,LEGITIMATE,23,22,0,1,0.0,0.9565,637,3968,5,FASHION,20,COD,1,400050,0.08,0.92,0,1,1,76,0,0,1,184,93.0,1,0.093,0
ORD_000128,CUS_10883,LEGITIMATE,25,25,0,0,0.0,1.0,703,2735,3,ACCESSORIES,40,CARD,0,110070,0.08,0.98,0,1,1,172,0,0,1,474,93.0,1,0.0035,0
ORD_000129,CUS_11002,SERIAL_RETURNER,6,2,3,1,0.5,0.3333,281,5479,2,ELECTRONICS,0,COD,1,201309,0.19,0.72,0,1,1,80,3,0,1,406,38.0,1,0.898,1
ORD_000130,CUS_17386,LEGITIMATE,32,32,0,0,0.0,1.0,385,1926,2,BEAUTY,0,UPI,0,400050,0.08,0.93,0,1,1,117,0,0,1,437,93.0,1,0.0031,0
ORD_000131,CUS_07222,OCCASIONAL_RTO,8,5,1,2,0.125,0.625,648,1899,1,FASHION,0,UPI,0,800001,0.34,0.77,1,1,1,212,0,0,1,617,62.0,1,0.0278,0
ORD_000132,CUS_07039,LEGITIMATE,5,4,0,1,0.0,0.8,110,1777,1,HOME,40,COD,1,560038,0.09,0.92,0,1,2,198,1,0,1,478,79.0,1,0.1094,0
ORD_000135,CUS_16557,LEGITIMATE,17,17,0,0,0.0,1.0,458,5706,2,ELECTRONICS,20,UPI,0,600001,0.1,0.88,0,1,2,83,0,0,1,230,89.0,1,0.0024,0
ORD_000136,CUS_05325,ABUSE_RING,12,2,10,0,0.8333,0.1667,694,3041,4,HOME,0,COD,1,141001,0.26,0.57,1,1,1,55,1,2,1,215,38.0,8,0.9887,1
ORD_000138,CUS_12638,LEGITIMATE,11,10,0,1,0.0,0.9091,437,8664,1,ELECTRONICS,40,COD,1,700001,0.12,0.93,0,1,1,130,0,1,1,426,88.0,1,0.1225,0
ORD_000139,CUS_13361,LEGITIMATE,24,24,0,0,0.0,1.0,162,1073,3,ELECTRONICS,15,COD,1,560001,0.08,0.85,0,1,1,177,0,0,1,380,93.0,1,0.0395,0
ORD_000140,CUS_05735,LEGITIMATE,3,3,0,0,0.0,1.0,627,709,3,ACCESSORIES,15,COD,1,400050,0.08,0.87,0,1,1,62,0,0,1,203,83.0,1,0.1431,0
ORD_000141,CUS_08811,SERIAL_RETURNER,16,5,9,2,0.5625,0.3125,46,862,1,BEAUTY,15,COD,1,226010,0.24,0.76,1,1,1,81,2,0,1,199,38.0,3,0.7087,1
ORD_000142,CUS_00319,OCCASIONAL_RTO,8,7,1,0,0.125,0.875,441,2087,3,BEAUTY,15,COD,1,842001,0.38,0.86,0,1,1,266,0,1,2,432,64.0,1,0.369,0
ORD_000143,CUS_01972,LEGITIMATE,27,27,0,0,0.0,1.0,169,788,2,BEAUTY,0,UPI,0,500001,0.11,0.79,0,1,1,189,0,0,1,340,85.0,1,0.0054,0
ORD_000144,CUS_15702,LEGITIMATE,3,2,1,0,0.3333,0.6667,185,1611,1,ACCESSORIES,15,COD,1,560038,0.09,0.89,0,1,1,104,0,0,1,375,59.0,1,0.3583,0
ORD_000145,CUS_08495,LEGITIMATE,32,31,0,1,0.0,0.9688,430,4824,1,ELECTRONICS,0,UPI,0,700001,0.12,0.83,0,1,1,150,2,0,1,376,80.0,1,0.0035,0
ORD_000146,CUS_01962,OCCASIONAL_RTO,12,9,1,2,0.0833,0.75,36,873,1,ACCESSORIES,15,COD,1,110070,0.08,0.77,0,1,2,122,0,0,1,343,81.0,1,0.0536,0
ORD_000151,CUS_04350,LEGITIMATE,13,13,0,0,0.0,1.0,248,1242,2,ACCESSORIES,30,CARD,0,110016,0.07,0.92,0,1,1,168,2,0,1,378,93.0,1,0.0016,0
ORD_000152,CUS_01047,OCCASIONAL_RTO,5,3,1,1,0.2,0.6,530,7300,3,ELECTRONICS,10,COD,1,201017,0.28,0.61,0,1,3,146,3,0,1,230,46.0,1,0.7665,1
ORD_000160,CUS_08565,SERIAL_RETURNER,4,2,2,0,0.5,0.5,115,1041,3,BEAUTY,15,COD,1,141001,0.26,0.53,2,1,1,160,1,2,1,352,38.0,1,0.7105,1
ORD_000162,CUS_10737,LEGITIMATE,18,17,0,1,0.0,0.9444,68,3480,2,FASHION,0,UPI,0,500001,0.11,0.86,0,1,1,63,0,1,1,191,93.0,1,0.0043,0
ORD_000165,CUS_00443,LEGITIMATE,29,28,0,1,0.0,0.9655,162,4393,1,FASHION,20,UPI,0,400001,0.09,0.9,0,1,1,142,2,0,1,530,93.0,1,0.0033,0
ORD_000167,CUS_08927,OCCASIONAL_RTO,20,17,3,0,0.15,0.85,153,1781,1,ELECTRONICS,30,UPI,0,226010,0.24,0.72,0,1,3,120,0,0,1,288,56.0,1,0.035,0
ORD_000169,CUS_17985,OCCASIONAL_RTO,10,8,2,0,0.2,0.8,543,8145,3,ELECTRONICS,15,COD,1,500001,0.11,0.79,0,1,1,60,0,0,1,231,65.0,2,0.3549,0
ORD_000170,CUS_15071,LEGITIMATE,21,20,1,0,0.0476,0.9524,612,2752,2,HOME,10,CARD,0,560001,0.08,0.85,0,1,2,201,0,0,1,537,89.0,1,0.0016,0
ORD_000172,CUS_04367,LEGITIMATE,15,15,0,0,0.0,1.0,671,762,1,ACCESSORIES,0,COD,1,500001,0.11,0.8,0,1,1,164,0,1,1,499,85.0,1,0.0292,0
ORD_000173,CUS_07060,LEGITIMATE,22,22,0,0,0.0,1.0,655,1651,1,ACCESSORIES,5,COD,1,560038,0.09,0.99,0,1,1,107,0,0,1,297,93.0,1,0.0395,0
ORD_000174,CUS_13684,OCCASIONAL_RTO,14,11,3,0,0.2143,0.7857,443,990,2,FASHION,15,COD,1,834001,0.33,0.79,0,1,1,41,0,0,1,183,46.0,2,0.4209,0
ORD_000176,CUS_17798,ABUSE_RING,15,4,11,0,0.7333,0.2667,117,1952,1,ACCESSORIES,15,COD,1,247001,0.36,0.69,2,1,2,62,2,0,1,192,26.0,9,0.9942,1
ORD_000177,CUS_09576,LEGITIMATE,15,12,2,1,0.1333,0.8,581,1237,1,BEAUTY,0,COD,1,600001,0.1,0.85,0,1,1,45,1,0,1,148,83.0,1,0.0781,0
ORD_000178,CUS_17462,LEGITIMATE,4,3,0,1,0.0,0.75,444,4186,1,FASHION,0,COD,1,560001,0.08,0.86,0,1,2,125,0,0,1,293,79.0,1,0.2037,0
ORD_000179,CUS_11324,LEGITIMATE,23,23,0,0,0.0,1.0,560,1697,1,ACCESSORIES,0,UPI,0,400050,0.08,0.91,0,1,1,146,0,1,1,355,93.0,1,0.0023,0
ORD_000180,CUS_04801,SERIAL_RETURNER,18,8,8,2,0.4444,0.4444,86,3367,3,HOME,5,COD,1,226010,0.24,0.51,1,1,2,112,2,2,1,250,42.0,2,0.627,1
ORD_000181,CUS_03989,ABUSE_RING,7,2,4,1,0.5714,0.2857,69,2480,1,HOME,5,UPI,0,834001,0.33,0.36,1,1,2,91,0,3,1,176,14.0,9,0.6951,1
ORD_000182,CUS_02300,LEGITIMATE,14,13,0,1,0.0,0.9286,644,1723,1,ACCESSORIES,40,COD,1,110016,0.07,0.95,0,1,2,182,0,0,1,294,89.0,1,0.065,0
ORD_000183,CUS_10495,SERIAL_RETURNER,17,5,11,1,0.6471,0.2941,597,2102,1,BEAUTY,40,COD,1,411001,0.11,0.75,1,1,1,33,1,3,1,223,37.0,3,0.8309,1
ORD_000184,CUS_05319,LEGITIMATE,6,5,1,0,0.1667,0.8333,215,1027,1,ACCESSORIES,20,UPI,0,560038,0.09,0.94,0,1,1,112,1,1,1,320,83.0,1,0.0144,0
ORD_000185,CUS_13441,ABUSE_RING,3,0,2,1,0.6667,0.0,146,1640,1,HOME,30,COD,1,380001,0.14,0.64,0,1,4,20,2,1,1,189,18.0,8,0.9652,1
ORD_000186,CUS_08107,LEGITIMATE,33,32,0,1,0.0,0.9697,70,3661,1,FASHION,30,UPI,0,560001,0.08,0.83,0,1,1,59,0,0,1,149,85.0,1,0.0026,0
ORD_000187,CUS_03493,LEGITIMATE,13,12,0,1,0.0,0.9231,353,2547,1,ACCESSORIES,20,UPI,0,110070,0.08,0.95,0,1,1,149,2,0,1,488,93.0,1,0.0011,0
ORD_000188,CUS_05127,LEGITIMATE,7,6,1,0,0.1429,0.8571,702,6224,1,ELECTRONICS,5,UPI,0,500001,0.11,0.99,0,1,1,91,0,0,1,468,83.0,1,0.0097,0
ORD_000189,CUS_11952,LEGITIMATE,9,9,0,0,0.0,1.0,83,2399,1,HOME,10,UPI,0,500001,0.11,0.8,0,1,1,76,0,0,1,204,85.0,1,0.0057,0
ORD_000190,CUS_00075,SERIAL_RETURNER,21,10,8,3,0.381,0.4762,638,1362,1,BEAUTY,30,COD,1,452001,0.21,0.58,1,1,2,32,4,2,1,285,36.0,1,0.2872,0
ORD_000191,CUS_08051,LEGITIMATE,16,16,0,0,0.0,1.0,207,4026,1,ELECTRONICS,0,CARD,0,560038,0.09,0.94,0,1,1,112,1,0,1,463,93.0,1,0.0049,0
ORD_000193,CUS_08815,LEGITIMATE,2,1,1,0,0.5,0.5,697,1408,1,BEAUTY,5,UPI,0,700001,0.12,0.83,0,1,1,131,2,0,1,417,38.0,1,0.088,0
ORD_000194,CUS_01810,LEGITIMATE,9,9,0,0,0.0,1.0,412,675,1,ACCESSORIES,15,COD,1,560001,0.08,0.82,0,1,1,197,0,0,1,276,85.0,1,0.0652,0
